ID,CREATEDDATE,FIRSTNAME,LASTNAME,DOB,GENDER,ADDRESS,ADDRESS2,CITY,STATE,ZIP,EMAIL,PHONE,CELLPHONE,WORKPHONE,PREFPHONE,STATUS,LASTMODIFYDATE,CC,LSC,RESPONSE,CLUB,ACCOUNTID,CONTACTID,OPPORTUNITYID,TASKID,VISITORID,WEBQUOTEID,CREATEDBYID,OWNERID
1x100,"2011-01-31 00:00:00",Kamal,Sharma,NULL,NULL,2343,"Kamal Nagar",NULL,Delhi,85623,f1115805@nwytg.com,222-213-2222,NULL,NULL,NULL,"Fitness band","2018-03-04 00:00:00",NULL,NULL,"Put in wishlist",N,KS154,ks091,923rtw,FB574,NULL,NULL,NULL,ks091
1x101,"2011-01-31 00:00:00",J,Sharma,NULL,NULL,NULL,NULL,Delhi,Haryana,85623,f1115805@nwytg.com,0000000000,NULL,NULL,NULL,"Dumbbell set","2018-03-08 00:00:00",NULL,NULL,"Put in wishlist",N,js190,bv353,014zxs,UW642,NULL,NULL,NULL,js190
1x92,"2016-05-06 00:00:00",Bob,Smith,"1956-03-23 00:00:00",M,"1234 Happy Lane","Times Square",Mumbai,Maharashtra,12345,d604262@nwytg.com,555-555-5555,+91-55555-23223,NULL,555-555-5555,"VIKINGS BLADE","2018-01-08 00:00:00",NULL,NULL,"User Reviews",PR,A43J12,bs123,6bahwtyz,VB6849,d604262,9221212,NULL,d604262
1x93,"2015-08-12 00:00:00",Robert,Smith,"1977-09-11 00:00:00",M,"1234 Happy Lane","Times Square",Mumbai,Maharashtra,2112,d611925@nwytg.com,555-555-5555,NULL,NULL,555-555-5555,1984,"2018-02-12 00:00:00",NULL,NULL,"Visited 2 times",N,WQ829J,rs654,2bae31z,GO1984,NULL,d611925,NULL,d611925
1x94,"2016-05-06 00:00:00",B,Smith,"1956-03-23 00:00:00",NULL,NULL,NULL,NULL,NULL,00000,NULL,0000000000,NULL,NULL,NULL,"Equinox blade","2018-03-12 00:00:00",NULL,NULL,"Checked cost",NULL,NULL,NULL,8qdrew,EB2342,NULL,NULL,NULL,NULL
1x95,"2013-05-06 00:00:00",Ravi,Iyer,"1942-08-12 00:00:00",M,"4 Mayur Vihar",NULL,Delhi,Delhi,27545,d613962@nwytg.com,215-555-1111,+91-23221-23223,NULL,215-555-1111,"Walking Stick","2018-02-14 00:00:00",NULL,NULL,Compare,PR,NI8293,ri823,0vbrwua,WS1923,d613962,234323,NULL,d613962
1x96,"2013-04-02 00:00:00",R,Iyer,"1942-08-12 00:00:00",M,NULL,NULL,NULL,Delhi,27547,e1718211@nwytg.com,215-555-1111,NULL,215-555-1111,NULL,"Sminiker Walking Cane","2018-01-17 00:00:00",NULL,NULL,"Add to wishlist",N,PA723,NULL,723dhe,L7231,e1718211,NULL,NULL,e1718211
1x97,"2013-04-02 00:00:00",G,Raj,"1978-06-23 00:00:00",NULL,"G V road","Panampilly Nagar",Kochi,Kerala,34223,tjo30502@ckoie.com,163-232-2321,NULL,163231423,NULL,"Fluttersleeve Top","2018-02-20 00:00:00",NULL,NULL,"Viewed more tops",PR,JY723,jq231,312hjy,K7843,NULL,FT605,NULL,tjo30502
1x98,"2013-04-02 00:00:00",R,Raj,NULL,NULL,NULL,NULL,NULL,NULL,00000,f731945@nwytg.com,0000000000,NULL,NULL,NULL,"Fluttersleeve Top","2018-02-22 00:00:00",NULL,NULL,"Ordered tops",PR,JW153,kj531,542grv,LF231,NULL,FT605,NULL,rf2310
1x99,"2011-01-31 00:00:00",Jai,Sharma,"1965-12-23 00:00:00",M,23,"Lajpat Nagar",NULL,Delhi,85623,f1109611@nwytg.com,843-615-8271,+91-93231-22222,NULL,NULL,"Fitness watch","2018-03-02 00:00:00",NULL,NULL,"Checked deals",N,FW321,js653,901hds,FW245,NULL,NULL,NULL,js653
